Nome do Campus,Ano de Ingresso,Periodo de Ingresso,Nome do Curso,Tipo do Curso,Modalidade do Curso,Sexo,Renda per Capita,Etnia,Situação do Aluno,Categoria,Área do Curso,Idade de Entrada
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,M,1.25,Branca,Concluído,2.0,Ciências da Saúde,15
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,M,1.25,Branca,Concluído,2.0,Ciências da Saúde,16
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,2.0,Branca,Concludente,2.0,Ciências da Saúde,18
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,2.75,Branca,Concluído,2.0,Ciências da Saúde,15
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,0.75,Branca,Concludente,2.0,Ciências da Saúde,16
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,M,1.25,Parda,Concludente,2.0,Ciências da Saúde,18
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,M,2.75,Preta,Concluído,2.0,Ciências da Saúde,15
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,0.75,Parda,Concluído,2.0,Ciências da Saúde,16
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,1.25,Parda,Concluído,2.0,Ciências da Saúde,16
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,0.75,Amarela,Concluído,2.0,Ciências da Saúde,15
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,M,1.25,Preta,Concluído,2.0,Ciências da Saúde,15
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,0.75,Parda,Concluído,2.0,Ciências da Saúde,16
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,M,1.25,Branca,Concluído,2.0,Ciências da Saúde,15
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,0.75,Parda,Concluído,2.0,Ciências da Saúde,15
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,M,0.75,Parda,Concluído,2.0,Ciências da Saúde,15
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,1.25,Preta,Concluído,2.0,Ciências da Saúde,16
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,0.75,Parda,Concludente,2.0,Ciências da Saúde,16
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,0.75,Parda,Concluído,2.0,Ciências da Saúde,16
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Análises Clínicas,Integrado,Presencial,F,0.75,Parda,Concluído,2.0,Ciências da Saúde,16
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Enfermagem na Modalidade de Educação de Jovens e Adultos,Integrado - EJA,Presencial,F,1.25,Branca,Matriculado,3.0,Ciências da Saúde,41
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Enfermagem na Modalidade de Educação de Jovens e Adultos,Integrado - EJA,Presencial,F,0.75,Preta,Evasão,1.0,Ciências da Saúde,30
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Enfermagem na Modalidade de Educação de Jovens e Adultos,Integrado - EJA,Presencial,F,0.75,Parda,Matriculado,3.0,Ciências da Saúde,38
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Enfermagem na Modalidade de Educação de Jovens e Adultos,Integrado - EJA,Presencial,M,0.75,Parda,Evasão,1.0,Ciências da Saúde,26
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Enfermagem na Modalidade de Educação de Jovens e Adultos,Integrado - EJA,Presencial,F,0.75,Parda,Evasão,1.0,Ciências da Saúde,19
Câmpus Águas Lindas,2018,1,Técnico Integrado ao Ensino Médio em Enfermagem na Modalidade de Educação de Jovens e Adultos,Integrado - EJA,Presencial,F,0.75,Preta,Concludente,2.0,Ciências da Saúde,41
