Modalidade do Curso_Semipresencial,Modalidade do Curso_À Distância,Tipo do Curso_Doutorado,Tipo do Curso_Especialização,Tipo do Curso_Formação Inicial e Continuada - FIC,Tipo do Curso_Integrado,Tipo do Curso_Integrado - EJA,Tipo do Curso_Licenciatura,Tipo do Curso_Mestrado,Tipo do Curso_Mestrado Profissional,Tipo do Curso_Subsequente,Tipo do Curso_Tecnólogo,Sexo_M,Etnia_Branca,Etnia_Desconhecida,Etnia_Indígena,Etnia_Parda,Etnia_Preta,Área do Curso_Ciências Biológicas,Área do Curso_Ciências Exatas e da Terra,Área do Curso_Ciências Humanas,Área do Curso_Ciências Sociais Aplicadas,Área do Curso_Ciências da Saúde,Área do Curso_Engenharias,"Área do Curso_Lingüística, Letras e Artes",Idade de Entrada,Periodo de Ingresso,Renda per Capita
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0484709535583263,0.4376170689532237,1.25
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9379045752352995,0.4376170689532237,1.25
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7167718185892459,0.4376170689532237,2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0484709535583263,0.4376170689532237,2.75
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9379045752352995,0.4376170689532237,0.75
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7167718185892459,0.4376170689532237,1.25
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0484709535583263,0.4376170689532237,2.75
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9379045752352995,0.4376170689532237,0.75
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9379045752352995,0.4376170689532237,1.25
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0484709535583263,0.4376170689532237,0.75
